   0.0000000000000000        0.0000000000000000        0.0000000000000000                            
  1.00000000000000002E-002   0.0000000000000000       3.34168336115067341E-007   1.0000000000000000     
  2.00000000000000004E-002  1.00000000000000017E-006  2.68005351162039530E-006  0.62687312187457511     
  2.99999999999999989E-002  5.01000000000000031E-006  9.06790703371113289E-006  0.44750205517384900     
  4.00000000000000008E-002  1.40600999999999994E-005  2.15483847764534608E-005  0.34751025908151245     
  5.00000000000000028E-002  3.02007009999999998E-005  4.21927520480793340E-005  0.28422064136546948     
  5.99999999999999978E-002  5.55027080100000048E-005  7.30930907192443857E-005  0.24065725687822201     
  7.00000000000000067E-002  9.20577350901000130E-005  1.16362508432958124E-004  0.20887117053566465     
  8.00000000000000017E-002  1.41978312441001011E-004  1.74135349917108918E-004  0.18466691278603195     
  8.99999999999999967E-002  2.07398095565411022E-004  2.48567410420715744E-004  0.16562635779816470     
  0.10000000000000001       2.90472076521065153E-004  3.41836151295249642E-004  0.15025934085543946     
  0.11000000000000000       3.93376797286275814E-004  4.56140917742582945E-004  0.13759809307817289     
  0.12000000000000000       5.18310565259138558E-004  5.93703158751342479E-004  0.12698701763818676     
  0.13000000000000000       6.67493670911729941E-004  7.56766649243660865E-004  0.11796632214323063     
  0.14000000000000001       8.43168607620847234E-004  9.47597714454536007E-004  0.11020405098148756     
  0.14999999999999999       1.04760029369705570E-003  1.16848545656624524E-003  0.10345457206153610     
  0.16000000000000000       1.28307629663402633E-003  1.42174198362047025E-003  9.75322446575934421E-002
  0.17000000000000001       1.55190705960036668E-003  1.70970264073102836E-003  9.22941670507053946E-002
  0.17999999999999999       1.85642613019637039E-003  2.03472624362033023E-003  8.76285514982671765E-002
  0.19000000000000000       2.19899039149833424E-003  2.39919531450291743E-003  8.34466963962302855E-002
  0.20000000000000001       2.58198029541331772E-003  2.80551632033966937E-003  7.96773211781878765E-002
  0.20999999999999999       3.00780009836745105E-003  3.25611991348650435E-003  7.62624908531589624E-002
  0.22000000000000000       3.47887809935112577E-003  3.75346117476164226E-003  7.31546331841179814E-002
  0.23000000000000001       3.99766688034463701E-003  4.30001985895572987E-003  7.03143214516502302E-002
  0.23999999999999999       4.56664354914808335E-003  4.89830064280938771E-003  6.77086030127960203E-002
  0.25000000000000000       5.18830998463956465E-003  5.55083337548297178E-003  6.53097231209654877E-002
  0.26000000000000001       5.86519308448596021E-003  6.26017333154360069E-003  6.30941391139162450E-002
  0.27000000000000002       6.59984501533081996E-003  7.02890146649473406E-003  6.10417507215222990E-002
  0.28000000000000003       7.39484346548412858E-003  7.85962467487387809E-003  5.91352931744425561E-002
  0.28999999999999998       8.25279190013897095E-003  8.75497605094421524E-003  5.73598543140599743E-002
  0.29999999999999999       9.17631981914036193E-003  9.71761515200621727E-003  5.57024871224812840E-002
  0.31000000000000000       1.01680830173317659E-002  1.07502282643556005E-002  5.41518963791723790E-002
  0.32000000000000001       1.12307638475050847E-002  1.18555286719141829E-002  5.26981834128721488E-002
  0.33000000000000002       1.23670714859801367E-002  1.30362569275605487E-002  5.13326367606069811E-002
  0.34000000000000002       1.35797422008399390E-002  1.42951811271876117E-002  5.00475593825809653E-002
  0.35000000000000003       1.48715396228483385E-002  1.56350971865145162E-002  4.88361251968907825E-002
  0.35999999999999999       1.62452550190768236E-002  1.70588291206805395E-002  4.76922592897899636E-002
  0.37000000000000000       1.77037075692675940E-002  1.85692293266489471E-002  4.66105373656639232E-002
  0.38000000000000000       1.92497446449602719E-002  2.01691788684490898E-002  4.55861009258587552E-002
  0.39000000000000001       2.08862420914098755E-002  2.18615877652851842E-002  4.46145853790224645E-002
  0.40000000000000002       2.26161045123239764E-002  2.36493952825406716E-002  4.36920588400638368E-002
  0.41000000000000003       2.44422655574472181E-002  2.55355702257071930E-002  4.28149698086366728E-002
  0.41999999999999998       2.63676882130216908E-002  2.75231112372676355E-002  4.19801022597127566E-002
  0.42999999999999999       2.83953650951519095E-002  2.96150470965628500E-002  4.11845369495460953E-002
  0.44000000000000000       3.05283187461034312E-002  3.18144370226721360E-002  4.04256179561552423E-002
  0.45000000000000001       3.27696019335644642E-002  3.41243709803376802E-002  3.97009236464410803E-002
  0.46000000000000002       3.51222979529001098E-002  3.65479699889636120E-002  3.90082414014789949E-002
  0.47000000000000003       3.75895209324291144E-002  3.90883864347205470E-002  3.83455455444447410E-002
  0.47999999999999998       4.01744161417534051E-002  4.17488043857868335E-002  3.77109780075383580E-002
  0.48999999999999999       4.28801603031709402E-002  4.45324399107580177E-002  3.71028313494209533E-002
  0.50000000000000000       4.57099619062026549E-002  4.74425414002563606E-002  3.65195337963986760E-002
  0.51000000000000001       4.86670615252646835E-002  5.04823898917726860E-002  3.59596360314917221E-002
  0.52000000000000002       5.17547321405173316E-002  5.36552993977727696E-002  3.54217994976714357E-002
  0.53000000000000003       5.49762794619225101E-002  5.69646172371013892E-002  3.49047860166058141E-002
  0.54000000000000004       5.83350422565417359E-002  6.04137243697170090E-002  3.44074485534818925E-002
  0.55000000000000004       6.18343926791071544E-002  6.40060357347905645E-002  3.39287229829641004E-002
  0.56000000000000005       6.54777366058982291E-002  6.77450005922022730E-002  3.34676207319277094E-002
  0.57000000000000006       6.92685139719572129E-002  7.16341028674704200E-002  3.30232221919462138E-002
  0.57999999999999996       7.32101991116767825E-002  7.56768615001468803E-002  3.25946708091919279E-002
  0.58999999999999997       7.73063011027935593E-002  7.98768307957140045E-002  3.21811677718487274E-002
  0.59999999999999998       8.15603641138215041E-002  8.42376007810180932E-002  3.17819672257317123E-002
