           4  1.83755964247683812E-003 -0.38965646084545741     
           8  3.49098191808727698E-004 -0.38781890120298057     
          16  2.91660326492970690E-005 -0.38816799939478930     
          32  1.93872378134729573E-006 -0.38819716542743860     
          64  1.23882355651527831E-007 -0.38819910415121994     
