           1          8.0000000000000000       -1.6000000000000001       2.02020202020202037E-002  0.10923829489867226       1.18863090260987927E-002
           2          10.696884781932388       -3.4849880529252246      -0.12089733989380165       0.23943750056269231       2.09995149664276223E-002
           3          16.779135861662581       -6.2095634389002656      -0.51406307693413911       0.42041571610382922       2.69707081353942751E-002
           4          29.374113179475358       -10.794430589079630       -1.3521481007124732       0.70938139043992210       2.86216495713204726E-002
           5          54.592482483127249       -19.182462678424340       -3.0235872452751025        1.2170494238334619       2.32884461880536395E-002
           6          104.36383606445976       -35.125722826593183       -6.2955570536347452        2.1585883451582943       5.48318602871105711E-003
           7          201.96854244010441       -65.913755843458176       -12.671895049412990        3.9530068000387559      -3.57320754400544116E-002
           8          392.82944242569471       -125.74348252378938       -25.091814324127341        7.4170351933768286      -0.12188021573365854     
           9          765.56453707030028       -242.29190725497298       -49.293345543442612        14.143349364342082      -0.29509587127983639     
          10          1493.0569829312346       -469.53720287357282       -96.473459605253282        27.238411340060342      -0.63769356005617339     
          11          2912.5751739901129       -912.76945182781515       -188.47771246616267        52.761856806320161       -1.3103475683243693     
          12          5682.0723671744217       -1777.3813428061940       -367.92447287191624        102.53447138007084       -2.6265787344559293     
          13          11085.098603518372       -3464.0493321150952       -717.95557539772005        199.61603240363510       -5.1980683369842264     
          14          21625.627922775486       -6754.4141926830962       -1400.7663301093044        388.99156824988887       -10.218141872491209     
          15          42188.457071685560       -13173.309336427070       -2732.7705836406553        758.41828394123615       -20.014796291108219     
          16          82302.930331621610       -25695.401490720851       -5331.2340185000339        1479.0940811019277       -39.129556522326034     
          17          160559.05098824759       -50123.716685279200       -10400.328845522452        2884.9943687067098       -76.422127988035612     
          18          313222.50387531344       -97778.891139235711       -20289.174019195038        5627.6436084519537       -149.17618839601559     
          19          611040.98233949125       -190745.40576356460       -39580.469251687493        10978.046174920173       -291.10903453263103     
          20          1192030.2458896600       -372106.02616399073       -77214.220083382126        21415.698015056743       -567.99693306151198     
          21          2325433.6979167894       -725907.31557095156       -150630.73551641655        41777.640228287448       -1108.1573111430951     
          22          4536495.7764141122       -1416108.6840688058       -293852.85559821990        81500.051588835937       -2161.9139131318193     
          23          8849871.9261081181       -2762564.8310524272       -573252.89324017067        158991.18391239402       -4217.6024016047331     
          24          17264476.754689775       -5389253.5371285742       -1118311.0422977689        310162.15591595985       -8227.8759822042302     
          25          33679825.585289031       -10513440.865773141       -2181619.3833162845        605068.96545560507       -16051.186119560020     
          26          65703156.713500239       -20509789.369910475       -4255938.6797058396        1180377.9992886994       -31313.030341448761     
          27          128174795.07383892       -40010829.611011535       -8302554.6909608142        2302700.2807049784       -61086.088546716346     
          28          250045489.36092055       -78053778.004027992       -16196759.404768264        4492144.9560546828       -119167.86040464223     
          29          487792833.80980951       -152268584.19468635       -31596903.113398660        8763349.4578012507       -232474.73402116977     
          30          951594243.31946385       -297048042.40632457       -61639755.423425369        17095685.090246391       -453515.63971035194     
          31          1856385621.5557044       -579486178.33151197       -120247843.25233003        33350541.779484600       -884725.85786089092     
          32          3621467446.0887780       -1130471115.0579712       -234581459.90567207        65060782.171873853       -1725937.8094626169     
          33          7064817948.9961510       -2205341544.6463685       -457625349.95012009        126921637.96769078       -3366987.8509644014     
          34          13782162448.859941       -4302216365.3221121       -892743020.00225711        247600807.60552758       -6568375.1248798128     
          35          26886468005.814053       -8392834073.7731037       -1741577689.9635639        483023706.24921042       -12813693.801419063     
          36          52450561693.937096       -16372878028.549490       -3397498252.4265552        942290548.83042634       -24997163.661825523     
          37          102321413930.60158       -31940478341.952576       -6627895179.2111063        1838235819.6936226       -48764876.009459645     
          38          199610288441.58917       -62310007744.441620       -12929806358.490974        3586060513.2138572       -95131318.138090327     
          39          389403016640.75873       -121555382597.38712       -25223677796.473339        6995745522.5768776       -185583732.07520562     
          40          759653776127.29028       -237132229210.55423       -49206763345.280891        13647414826.805099       -362039781.13401037     
          41          1481945015634.0732       -462601432607.42578       -95993359035.909698        26623600137.555965       -706273128.74659228     
          42          2891002583515.2280       -902450443634.40198       -187265415413.46164        51937754753.128448       -1377809175.4854631     
          43          5639815141395.4990       -1760515090986.1035       -365320436353.05292        101321021757.65305       -2687852682.8807220     
          44          11002243654321.645       -3434441644363.3882       -712673084469.74219        197658707020.10043       -5243506991.5378265     
          45          21463356935329.805       -6699964952833.9395       -1390294313666.1438        385595839670.22705       -10229119231.501192     
          46          41871067884630.523       -13070401252234.082       -2712208894560.2827        752226672999.14832       -19955133161.893398     
          47          81682764307639.906       -25497952615731.242       -5291021487626.2578        1467456101329.8296       -38928800270.602432     
          48          159348073073303.72       -49741823150454.734       -10321811287718.672        2862737372426.0151       -75942940506.114548     
          49          310858828143256.56       -97037162458473.813       -20135958341585.773        5584674905135.7031       -148150730888.67322     
          50          606428488094392.63       -189301684208699.63       -39281556989567.273        10894675179240.271       -289014869803.05304     
          51          1183030616724108.0       -369292822835641.13       -76631104084967.297        21253510594144.633       -563814936762.06177     
          52          2307875483397105.0       -720422481014827.00       -149493211657590.91        41461696208818.977       -1099899403558.6516     
          53          4502241253581649.5       -1405411963239133.3       -291633803252031.38        80884155344482.500       -2145701752593.1941     
          54          8783045901425982.0       -2741700652696629.0       -568923994984128.75        157790133641441.22       -4185870086105.3843     
          55          17134109649319076.       -5348554491931637.0       -1109866237930518.5        307819574409171.25       -8165863851570.1406     
          56          33425501445600420.       -10434047613850674.       -2165145216159156.3        600499462182836.75       -15930100808365.361     
          57          65207015115269592.       -20354910802971856.       -4223800712956146.0        1171464175967401.5       -31076701299138.730     
